experiment_name,dataset,regime,seed,class_idx,class_name,precision,recall,f1,support
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_only,2,3,yellow_triangle,0.7902097902097902,0.70625,0.745874587458746,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_only,2,4,purple_diamond,0.8098591549295775,0.71875,0.76158940397351,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_ungated,2,0,red_square,0.7183098591549296,0.95625,0.8203753351206435,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_ungated,2,1,green_circle,0.9583333333333334,0.14375,0.25,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_ungated,2,2,blue_x,0.4742268041237113,0.2875,0.35797665369649806,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_ungated,2,3,yellow_triangle,0.34120171673819744,0.99375,0.5079872204472844,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_ungated,2,4,purple_diamond,0.0,0.0,0.0,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_gated,2,0,red_square,0.8153846153846154,0.99375,0.895774647887324,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_gated,2,1,green_circle,0.8626373626373627,0.98125,0.9181286549707602,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_gated,2,2,blue_x,0.5141843971631206,0.90625,0.6561085972850679,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_gated,2,3,yellow_triangle,0.9929078014184397,0.875,0.9302325581395348,160
real_diffusion_manifest_utility_gate_sanity_check,procedural_real_plus_real_diffusion_manifest,real_plus_gated,2,4,purple_diamond,0.0,0.0,0.0,160
